title,year,authors,url,v1_decision,v1_reason,doi,v2_decision,v2_reason
"An automated algorithm for obstructive sleep apnea detection using a wireless abdomen-worn sensor","2025","TH Dang; S Kim; M Choi; S Hwan; H Min; F Bien","https://www.mdpi.com/1424-8220/25/8/2412","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Include","IC-I"
"Comparison of OPPO watch sleep analyzer and polysomnography for obstructive sleep apnea screening","2024","G Zhou; W Zhao; Y Zhang; W Zhou; H Yan","https://www.tandfonline.com/doi/pdf/10.2147/NSS.S438065","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.2147/NSS.S438065","Include","IC-I"
"SleepPos app: An automated smartphone application for angle based high resolution sleep position monitoring and treatment","2021","I Ferrer-Lluis; Y Castillo-Escario; JM Montserrat; R Jané","https://www.mdpi.com/1424-8220/21/13/4531","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-I"
"Sleep Well Monitor: Enhancing Health Through Snore Detection and Vital Signs Monitoring","2024","M Sasikala; K SK","https://ieeexplore.ieee.org/abstract/document/10846609/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"Sleep monitoring with intraorally measured photoplethysmography (ppg) signals","2022","S Nabavi; J Cogan; A Roy; B Canfield","https://dianyx-innovations.swiftdme.com/wp-content/uploads/2026/03/Sleep-Monitoring-with-intraorally-measured-Photoplethysmography-PPG-signals.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","","Exclude","EC-I"
"O33. Integrated Physiological Signal Monitoring for Comprehensive Sleep Apnea Detection","2025","HA DERESHGI; D KOUCHAIRI","https://vb.ftmc.lt/object/elaba:261918846/261918846.pdf#page=114","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"An experimental study on estimating sleep period time using accelerometer and electrodermal activity in ring-shaped wearable devices","2026","E Lee; J Shin; KI Yang; J Cho","https://link.springer.com/article/10.1007/s13534-025-00521-4","maybe","","10.1007/s13534-025-00521-4","Exclude","EC-D"
"A Low-Power Prototype for Sleep Apnea Recognition Using Accelerometer and Bispectral Signal Processing","2025","H Pham-Thai; T Le-Tien","https://ieeexplore.ieee.org/abstract/document/11081785/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"Interpreting the mandibular jaw movement signal in pediatric obstructive sleep apnea diagnosis: A technical and practical review","2025","JB Martinot; NN Le-Dong; J Cassibba; D Clause","https://research.dial.uclouvain.be/bitstreams/80c7b6e5-ebca-49b2-871c-71936c055cff/download","exclude","EC-O","","",""
"Smart mattress integrated with pressure sensor and IoT functions for sleep apnea detection","2022","T Sangeetha; D Kumutha; MD Bharathi","https://www.sciencedirect.com/science/article/pii/S2665917422000848","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-E"
"Distinguishing sleep from wake with a radar sensor: a contact-free real-time sleep monitor","2021","HSA Heglum; H Kallestad; D Vethe; K Langsrud","https://academic.oup.com/sleep/article-pdf/44/8/zsab060/53970414/zsab060.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-I"
"Design and Evaluation of a Multi-Sensor Wearable System for Obstructive Sleep Apnea Risk Assessment","2026","J Lewis; F Alam; AAA Moghadam","https://ieeexplore.ieee.org/abstract/document/11476583/","exclude","EC-I; EC-Y","","",""
"IoT-Enabled Sleep Monitoring Wearables: Advancements in Tracking and Analysis","2024","K Thinakaran; VV Baskar; MA Shariff","https://ieeexplore.ieee.org/document/10486753/","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-D"
"HyPoNet: Fine-Grained Sleep Posture Recognition from a Single Abdominal Accelerometer","2025","DH Vu; DN Tran; QH Pham; DT Tran","https://rev-jec.org/index.php/rev-jec/article/download/411/361","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-I"
"Diagnostic modalities in sleep disordered breathing: current and emerging technology and its potential to transform diagnostics","2025","L Pinilla; CL Chai‐Coetzer; DJ Eckert","https://onlinelibrary.wiley.com/doi/pdf/10.1111/resp.70012","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-C; IC-O","10.1111/resp.70012","Exclude","EC-E"
"Sensing and monitoring system for diagnosis and therapy of obstructive sleep apnea","2025","WI Jang","https://link.springer.com/content/pdf/10.1186/s40486-025-00234-4.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I","10.1186/s40486-025-00234-4","Exclude","EC-I, IC-C"
"Sleep posture monitoring using a single neck-situated accelerometer: A proof-of-concept","2023","RS Abdulsadig; E Rodriguez-Villegas","https://ieeexplore.ieee.org/iel7/6287639/10005208/10047895.pdf","include","IC-L; IC-T; IC-Y; IC-P; IC-I; IC-O","","Exclude","EC-I"
"Smart mandibular advancement device for intraoral monitoring of cardiorespiratory parameters and sleeping postures","2021","S Nabavi; S Bhadra","https://mcgill.scholaris.ca/bitstreams/4448be2f-2446-4465-b5fe-dbe073aaaf79/download","include","IC-L; IC-T; IC-Y; IC-P; IC-I","","Exclude","EC-I"
